Proffesion;Sex;Region;2005;2007;2009;2011
Всего;Всего;Алтайский край;5,395;8,382;11,371;14,397.7300
;;Амурская область;9,565;14,664;18,981;26,097.5300
;;Архангельская область;10,03;14,717;19,929;24,532.4600
;;Архангельская область (без АО);;;;22,637.9500
;;Астраханская область;7,357;10,428;14,953;18,063.5400
;;Белгородская область;7,868;11,431;14,227;19,133.8500
;;Брянская область;5,665;8,382;10,5;14,245.6500
;;Владимирская область;6,211;10,056;13,65;17,098.9400
;;Волгоградская область;6,726;10,191;13,18;17,145.0500
;;Вологодская область;9,431;13,507;16,782;22,313.5100
;;Воронежская область;6,175;9,516;13,473;17,333.1400
;;г.Москва;16,618;25,991;39,543;45,338.3200
;;г.Санкт-Петербург;11,734;19,732;26,551;33,382.8700
;;Дальневосточный федеральный округ;11,957;17,76;23,7;30,447.6500
;;Еврейская автономная область;8,717;11,885;16,253;23,783.8200
;;Забайкальский край;9,572;13,041;18,019;23,056.6900
;;Ивановская область;4,986;8,194;11,292;13,868.1400
;;Иркутская область;9,579;14,046;18,756;24,379.5800
;;Кабардино-Балкарская Республика;4,019;6,68;9,455;11,199.0900
;;Калининградская область;7,859;13,421;15,976;20,878.0900
;;Калужская область;7,365;11,553;16,166;21,083.5500
;;Камчатский край;13,767;20,243;28,122;37,463.6100
;;Карачаево-Черкесская Республика;4,846;7,366;9,457;11,090.1100
;;Кемеровская область;9,34;13,292;16,554;21,909.9900
;;Кировская область;6,074;9,166;12,031;15,333.6000
;;Костромская область;5,82;8,876;12,418;14,994
;;Краснодарский край;7,075;11,443;14,527;18,443.1200
;;Красноярский край;11,59;17,099;21,659;27,603.5000
;;Курганская область;5,984;9,149;11,318;15,466.1700
;;Курская область;6,038;9,511;12,213;16,218.4100
;;Ленинградская область;9,396;15,134;20,615;25,459.6800
;;Липецкая область;7,986;12,084;15,317;19,324.5700
;;Магаданская область;12,751;20,324;25,857;40,125.2900
;;Московская область;10,353;17,827;24,422;30,562.8700
;;Мурманская область;13,202;18,15;24,883;31,637.9600
;;Ненецкий авт.округ;25,968;28,449;40,714;46,713.3000
;;Нижегородская область;6,882;11,589;15,534;19,834.3700
;;Новгородская область;8,096;11,523;15,009;19,719.4100
;;Новосибирская область;7,842;12,837;18,193;22,428.1500
;;Омская область;8,043;11,191;14,437;19,134.8000
;;Оренбургская область;7,022;9,693;13,559;17,053.2000
;;Орловская область;5,468;8,919;11,499;14,806.0300
;;Пензенская область;5,242;8,769;12,292;15,434.3200
;;Пермский край;8,303;12,701;15,866;20,619.7600
;;Приволжский федеральный округ;7,096;11,047;14,109;18,272.6600
;;Приморский край;9,555;13,746;18,512;25,089.7300
;;Псковская область;5,774;9,011;12,55;15,805.6300
;;Республика Адыгея;5,064;7,583;11,041;13,576.4600
;;Республика Алтай;5,706;8,109;10,109;13,432.6900
;;Республика Башкортостан;7,749;12,432;15,252;19,330.9400
;;Республика Бурятия;7,984;11,483;15,795;21,727.3100
;;Республика Дагестан;3,338;5,299;8,191;11,091.4800
;;Республика Ингушетия;4,978;6,321;8,843;12,286.2200
;;Республика Калмыкия;4,504;6,3;8,873;11,578.6100
;;Республика Карелия;8,662;13,382;17,593;23,036.1400
;;Республика Коми;11,777;17,673;23,4;30,436.6100
;;Республика Марий Эл;5,305;8,643;10,885;14,030.5700
;;Республика Мордовия;5,57;8,449;11,249;14,844.6900
;;Республика Саха (Якутия);12,645;36,748;27,579;33,449.9800
;;Республика Северная Осетия - Алания;4,41;6,292;9,288;11,558.0700
;;Республика Татарстан;7,53;11,326;14,514;19,496.5900
;;Республика Тыва;6,628;8,568;12,666;16,440.2200
;;Республика Хакасия;8,128;12,137;15,444;19,433.3800
;;Российская Федерация;9,222;14,289;19,275;24,093.6600
